Name of interest rate	Country/Region	Current Rate	Direction	Previous Rate	Change
American interest rate FED	United States	5.500	Up	5.250	2023-07-26
Australian interest rate RBA	Australia	4.100	Up	3.850	2023-06-06
Banco Central interest rate	Chile	9.500	Down	10.250	2023-09-05
Bank of Korea interest rate	South Korea	3.500	Up	3.250	2023-01-13
Brazilian interest rate BACEN	Brazil	13.250	Down	13.750	2023-08-02
British interest rate BoE	Great Britain	5.250	Up	5.000	2023-08-03
Canadian interest rate BOC	Canada	5.000	Up	4.750	2023-07-12
Chinese interest rate PBC	China	3.450	Down	3.550	2023-08-21
Czech interest rate CNB	Czech Republic	7.000	Up	5.750	2022-06-22
Danish interest rate Nationalbanken	Denmark	3.500	Up	3.250	2023-07-27
European interest rate ECB	Europe	4.500	Up	4.250	2023-09-14
Hungarian interest rate	Hungary	13.000	Up	11.750	2022-09-27
Indian interest rate RBI	India	6.500	Up	6.250	2023-02-08
Indonesian interest rate BI	Indonesia	6.500	Down	6.750	2016-06-16
Israeli interest rate BOI	Israel	4.750	Up	4.500	2023-05-22
Japanese interest rate BoJ	Japan	0.100	Down	0.000	2016-02-01
Mexican interest rate Banxico	Mexico	11.250	Up	11.000	2023-03-30
New Zealand interest rate	New Zealand	5.500	Up	5.250	2023-05-24
Norwegian interest rate	Norway	4.000	Up	3.750	2023-08-17
Polish interest rate	Poland	6.000	Down	6.750	2023-09-06
Russian interest rate CBR	Russia	12.000	Up	8.500	2023-08-15
Saudi Ariabian interest rate	Saudi Arabia	6.000	Up	5.750	2023-07-26
South African interest rate SARB	South Africa	8.250	Up	7.750	2023-05-25
Swedish interest rate Riksbank	Sweden	3.750	Up	3.500	2023-06-30
Swiss interest rate SNB	Switzerland	1.750	Up	1.500	2023-06-22
Turkish interest rate CBRT	Turkey	25.000	Up	17.500	2023-08-24
